# MANUALLY MANAGED - the admitted retail data census: one row per datum
# START (rva) in .rdata/.data/.bss plus its structural kind. No sizes and
# no names: a row's extent is DERIVED to the next row within its section
# (the last .rdata row ends at 0x208000; .data rows end at the raw/.bss
# boundary 0x229400; .bss rows at the virtual end 0x2c27ac). Names and
# ownership come from the providers: DATA()/DATA_COMPGEN claims in src/,
# data_vtables.tsv, data_static_libs.tsv, data_zlib.tsv, data_compgen.tsv,
# and the build-time ??_C@/$T oracles (strings and FP pools stay row-less
# in config - their names are re-proven from the base objs every build).
# kind: (empty) datum | string (pooled literal) | fppool ($T FP constant) |
# vtable (??_7) | rtti (??_R records) | ehtable (/GX FuncInfo+maps) |
# guard (??_B) | common (header-inline static COMMON) | copy (per-TU
# header-static copy) | pad (zero fill / alignment).
# Initially assembled from the delink data manifest + the derived residue
# partition; boundary corrections are edited here. The build never
# regenerates this file (gruntz.audit.data_denominator --check re-proves
# kinds and tiling against the image every build).
rva	kind
0x1e7000	rtti
0x1e7004	vtable
0x1e7044	pad
0x1e705c	vtable
0x1e709c	pad
0x1e70b4	vtable
0x1e70c0	pad
0x1e70c8	fppool
0x1e70d0	fppool
0x1e70d8	fppool
0x1e70e0	fppool
0x1e70e8	fppool
0x1e70f0	pad
0x1e70fc	vtable
0x1e7100	pad
0x1e710c	vtable
0x1e711c	pad
0x1e7124	vtable
0x1e7134	pad
0x1e713c	vtable
0x1e714c	pad
0x1e7154	vtable
0x1e7194	pad
0x1e71ac	vtable
0x1e71ec	pad
0x1e7204	vtable
0x1e7244	pad
0x1e725c	vtable
0x1e729c	pad
0x1e72b4	vtable
0x1e7308	pad
0x1e7324	vtable
0x1e7378	pad
0x1e7394	vtable
0x1e73e8	pad
0x1e7404	vtable
0x1e7444	pad
0x1e745c	vtable
0x1e749c	pad
0x1e74b4	vtable
0x1e74f4	pad
0x1e750c	vtable
0x1e754c	pad
0x1e7564	vtable
0x1e75a4	pad
0x1e75bc	vtable
0x1e75fc	pad
0x1e7614	vtable
0x1e7654	pad
0x1e766c	vtable
0x1e76ac	pad
0x1e76c4	vtable
0x1e7704	pad
0x1e771c	vtable
0x1e775c	pad
0x1e7774	vtable
0x1e77b4	pad
0x1e77cc	vtable
0x1e7810	pad
0x1e7824	vtable
0x1e7864	pad
0x1e787c	vtable
0x1e78bc	pad
0x1e78d4	vtable
0x1e7914	pad
0x1e792c	vtable
0x1e7974	pad
0x1e798c	vtable
0x1e79d4	pad
0x1e79ec	vtable
0x1e7a30	pad
0x1e7a44	vtable
0x1e7a88	pad
0x1e7a9c	vtable
0x1e7adc	pad
0x1e7af4	vtable
0x1e7b34	pad
0x1e7b4c	vtable
0x1e7b8c	pad
0x1e7ba4	vtable
0x1e7be8	pad
0x1e7bfc	vtable
0x1e7c3c	pad
0x1e7c54	vtable
0x1e7c94	pad
0x1e7cac	vtable
0x1e7cec	pad
0x1e7d04	vtable
0x1e7d44	pad
0x1e7d5c	vtable
0x1e7d9c	pad
0x1e7db4	vtable
0x1e7df4	pad
0x1e7e0c	vtable
0x1e7e4c	pad
0x1e7e64	vtable
0x1e7ea4	pad
0x1e7ebc	vtable
0x1e7efc	pad
0x1e7f14	vtable
0x1e7f54	pad
0x1e7f6c	vtable
0x1e7fac	pad
